,Date,total_d,total_n,floyd_d,floyd_n,pbp_d,pbp_n,350_d,350_n,abe_d,abe_n
0,1/1/20,0,0,0,0,0,0,0,0,0,0
1,1/2/20,0,0,0,0,0,0,0,0,0,0
2,1/3/20,0,0,0,0,0,0,0,0,0,0
3,1/4/20,0,0,0,0,0,0,0,0,0,0
4,1/5/20,0,0,0,0,0,0,0,0,0,0
5,1/6/20,0,0,0,0,0,0,0,0,0,0
6,1/7/20,0,0,0,0,0,0,0,0,0,0
7,1/8/20,0,0,0,0,0,0,0,0,0,0
8,1/9/20,0,0,0,0,0,0,0,0,0,0
9,1/10/20,0,0,0,0,0,0,0,0,0,0
10,1/11/20,0,0,0,0,0,0,0,0,0,0
11,1/12/20,0,0,0,0,0,0,0,0,0,0
12,1/13/20,0,0,0,0,0,0,0,0,0,0
13,1/14/20,0,0,0,0,0,0,0,0,0,0
14,1/15/20,38,1.066666667,0,0,0,0,0,0,0,0
15,1/16/20,7.666666667,0.466666667,0,0,0,0,0,0,0,0
16,1/17/20,7.666666667,0.466666667,0,0,0,0,0,0,0,0
17,1/18/20,5.333333333,0.533333333,0,0,0,0,0,0,0,0
18,1/19/20,15.33333333,0.666666667,0,0,0,0,0,0,0,0
19,1/20/20,20.33333333,0.8,0,0,0,0,0,0,0,0
20,1/21/20,22.33333333,0.733333333,0,0,0,0,0,0,0,0
21,1/22/20,31.53333333,1.066666667,0,0,0,0,0,0,0,0
22,1/23/20,31.86666667,1.133333333,0,0,0,0,0,0,0,0
23,1/24/20,32.86666667,1.2,0,0,0,0,0,0,0,0
24,1/25/20,32.2,1.133333333,0,0,0,0,0,0,0,0
25,1/26/20,32.2,1.133333333,0,0,0,0,0,0,0,0
26,1/27/20,34.7,1.266666667,0,0,0,0,0,0,0,0
27,1/28/20,37.7,1.4,0,0,0,0,0,0,0,0
28,1/29/20,47.648,1.6,0,0,0,0,0,0,0,0
29,1/30/20,49.98133333,1.733333333,0,0,0,0,0,0,0,0
30,1/31/20,60.648,2.066666667,0,0,0,0,0,0,0,0
31,2/1/20,63.648,2.2,0,0,0,0,0,0,0,0
32,2/2/20,64.31466667,2.066666667,0,0,0,0,0,0,0,0
33,2/3/20,54.648,2,0,0,0,0,0,0,0,0
34,2/4/20,49.648,1.866666667,0,0,0,0,0,0,0,0
35,2/5/20,45.648,1.8,0,0,0,0,0,0,0,0
36,2/6/20,40.11466667,1.666666667,0,0,0,0,0,0,0,0
37,2/7/20,49.396,1.733333333,0,0,0,0,0,0,0,0
38,2/8/20,48.396,1.666666667,0,0,0,0,0,0,0,0
39,2/9/20,50.52933333,1.733333333,0,0,0,0,0,0,0,0
40,2/10/20,61.196,1.933333333,0,0,0,0,0,0,0,0
41,2/11/20,58.696,1.8,0,0,0,0,0,0,0,0
42,2/12/20,67.696,1.666666667,0,0,0,0,0,0,0,0
43,2/13/20,58.08133333,1.533333333,0,0,0,0,0,0,0,0
44,2/14/20,1040.821333,1.6,0,0,0,0,0,0,0,0
