Facility_Name,lat,long,level_0,State,City,Primary Restriction,Other Requirement 1,Other Requirement 2,Other Requirement 3,Other Requirement 4,Color Coding,num_max_books,only_paperback,condition_good_used_okay,bundle,has_no_restrictions,condition_new,needs_prior_approval,hardcover_okay,accept_books,Number_of_books_accepted
Alex City Community Based Facility / Community Work Center,30.737974,-88.108942,0,Alabama,Alexander City,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
FCI Aliceville,38.15447,-95.55193,1,Alabama,Aliceville,White envelopes only,,"No stationary, no blank greeting cards, no journals, no blank paper",,,white envelopes only,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,5
Davis Correctional ,35.089994,-96.443911,2,Alabama,Atmore,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Davis Correctional ,35.089994,-96.443911,884,Oklahoma,Holdenville,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Davis Correctional ,35.089994,-96.443911,2,Alabama,Atmore,,,,,,,9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Davis Correctional ,35.089994,-96.443911,884,Oklahoma,Holdenville,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Fountain Correctional ,31.156856,-87.464965,3,Alabama,Atmore,"Make sure it says: ""PO Box 3800"" in the return address.",,,,,"make sure it says: ""po box 3800"" in the return address.",9999,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Holman Correctional ,31.134522,-87.450099,4,Alabama,Atmore,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Oakwood - N. Baldwin ,30.88266,-87.777168,5,Alabama,Bay Minette,,,,,,,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Accept limited books,3
Donaldson Correctional ,40.63592,-76.4119,6,Alabama,Bessemer,Number and Bed Assignment must be shown on address,,,,"Number and Bed Assignment must be shown on address, mark this up on letter!!!",number and bed assignment must be shown on address,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,Accept limited books,4
Brimingham Community Based Facility,41.783084,72.046752,7,Alabama,Birmingham,,,,,,,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Accept limited books,3
Bibb Correctional ,32.919152,-87.163477,8,Alabama,Brent,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Castle Rock,39.331104,-104.848977,9,Alabama,Castle Rock,,No Sex,,,,,9999,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Ventress Correctional ,31.88919,-85.493077,10,Alabama,Clayton,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Easterling Correctional ,31.689222,-85.585658,11,Alabama,Clio,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Shelby County Jail,33.18357,-86.627385,12,Alabama,Columbiana,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
Shelby County Jail,33.18357,-86.627385,409,Indiana,Shelbyville,,,,,,,9999,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,No limit on books,No limit on books
Shelby County Jail,33.18357,-86.627385,12,Alabama,Columbiana,,,,,,,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Doesn't accept books,Doesn't accept books
